Present Date: 01/01/2025 17:44:22,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Field Name,Units,2024-11-19 07:46:00,2024-11-19 07:46:01,2024-11-19 07:46:02,2024-11-19 07:46:03,2024-11-19 07:46:04,2024-11-19 07:46:05,2024-11-19 07:46:05,2024-11-19 07:46:06,2024-11-19 07:46:07,2024-11-19 07:46:08
Packet_Index,,0,0,0,0,0,0,10,0,0,0
Loco_speed,KMPH,56,55,54,53,52,52,52,51,51,50
Acceleration,m/sec2,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1
OHE_Volt_KV,KV,27.4,27.5,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6
OHE_Current,Amps,62,29,13,4,3,3,3,2,2,2
Bogie1_DCLV,Volts,2357,2342,2326,2309,2298,2265,2276,2266,2251,2233
Bogie2_DCLV,Volts,2350,2336,2319,2304,2288,2271,2269,2257,2242,2228
Battery_Volt,Volts,100,100,100,100,100,99,100,100,100,100
BP_Pressure,Kg/cm2,5,5,5.1,5.1,5.1,5.2,5.2,5.2,5.3,5.4
Aux_Inp_Vol,Volts,1074,1092,1096,1097,1097,1100,1096,1099,1098,1096
Aux_Winding_I,Amps,12,9,11,14,18,11,18,12,23,40
TM1_RPM,RPM,974,956,940,929,915,903,896,893,884,875
TM2_RPM,RPM,974,955,941,928,915,902,901,893,884,877
TM3_RPM,RPM,973,955,940,928,914,903,900,893,884,876
TM4_RPM,RPM,971,957,941,925,913,903,900,892,885,873
TM5_RPM,RPM,973,960,940,925,917,904,900,893,886,871
TM6_RPM,RPM,974,958,942,930,917,906,903,896,884,876
Average_RRPM,RPM,971,955,939,926,913,902,898,891,883,873
TM1_RPM_Limit,RPM,972,956,940,927,914,903,899,892,884,874
TM2_RPM_Limit,RPM,972,956,940,927,914,903,899,892,884,874
TM3_RPM_Limit,RPM,971,955,939,926,913,902,898,891,883,873
TM4_RPM_Limit,RPM,971,955,939,926,913,902,898,891,883,873
TM5_RPM_Limit,RPM,971,955,939,926,913,902,898,891,883,873
TM6_RPM_Limit,RPM,972,956,940,927,914,903,899,892,884,874
Conv2_Coolant_Pressure,Bar,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1
VCU1_MCC_Temp,Deg c,24,24,25,24,25,25,25,24,25,24
VCU1_DIP_Temp,Deg c,24,24,24,23,24,24,24,24,24,23
VCU1_DOP_Temp,Deg c,24,24,25,25,25,24,24,24,25,24
VCU2_DIP_Temp,Deg c,23,24,24,24,24,24,24,24,24,24
VCU2_DOP_Temp,Deg c,24,24,25,25,24,24,25,25,24,24
Energy_Cntr,NUM,9414,9415,9416,9417,9418,9419,9419,9420,9421,9422
Enrgy_data_LSW,NUM,65523,65522,65528,65529,65529,65530,65530,65528,65530,65527
TM1_I_Peak,Amps,8,8,7,9,8,8,9,8,8,7
TM2_I_Peak,Amps,8,8,7,8,9,9,9,8,9,7
TM3_I_Peak,Amps,7,7,8,8,8,8,7,7,8,7
TM4_I_Peak,Amps,9,9,8,8,8,8,8,8,8,8
TM5_I_Peak,Amps,7,6,6,7,6,6,6,8,6,7
TM6_I_Peak,Amps,6,6,6,7,6,6,6,6,6,6
TM1_DCLV,Volts,2306,2291,2276,2260,2245,2230,2224,2215,2200,2186
TM2_DCLV,Volts,2311,2296,2281,2264,2250,2235,2230,2221,2204,2190
TM3_DCLV,Volts,2311,2297,2281,2265,2249,2235,2229,2220,2203,2191
TM4_DCLV,Volts,2310,2295,2279,2263,2248,2232,2228,2218,2204,2188
TM5_DCLV,Volts,2322,2306,2292,2275,2260,2244,2239,2231,2215,2201
TM6_DCLV,Volts,2309,2293,2277,2261,2245,2231,2227,2216,2200,2186
TM4_Stat_Temp1,Deg c,62,61,61,61,61,61,61,61,61,61
OHE_Volt_LC1,KV,27.4,27.5,27.5,27.6,27.5,27.6,27.6,27.5,27.5,27.5
OHE_Volt_LC2,KV,27.4,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6
OHE_Volt_LC3,KV,27.4,27.5,27.6,27.6,27.6,27.6,27.7,27.6,27.6,27.6
OHE_Volt_LC4,KV,27.4,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6
OHE_CurrentLC1,Amps,61.8,28.7,12.5,3.9,3,2.6,2.5,2.4,2.3,2.4
OHE_CurrentLC2,Amps,60.7,27.6,9.9,3.3,2.3,1.8,1.8,1.6,1.5,1.7
OHE_CurrentLC3,Amps,60.7,27.5,9.9,3.3,2.3,1.9,1.8,1.6,1.5,1.6
OHE_CurrentLC4,Amps,60.3,27.3,9.3,3.2,2.2,1.7,1.6,1.5,1.3,1.6
HL_I_LC1,Amps,17.8,15.2,15.2,15.2,15.2,15.2,12.7,15.2,12.7,15.2
HL_I_LC3,Amps,7.6,7.6,10.2,7.6,10.2,7.6,7.6,10.2,7.6,7.6
DCLV_LC1,Volts,2357.4,2342.2,2325.8,2309.2,2298.2,2264.6,2275.6,2265.9,2251,2227.1
DCLV_LC2,Volts,2357.4,2342.2,2325.8,2309.2,2298.2,2264.6,2275.6,2265.9,2251,2238.2
DCLV_LC3,Volts,2350.5,2335.8,2319.4,2303.8,2288.4,2272,2268.9,2257.1,2241.8,2228.2
DCLV_LC4,Volts,2350.5,2335.8,2319.4,2303.8,2286.9,2270.2,2268.9,2257.1,2241.8,2228.2
Aux_CurrentLC1,Amps,12.2,9.1,10.7,13.7,16.8,10.7,16.8,12.2,22.9,39.6
Aux_CurrentLC2,Amps,9.1,7.6,7.6,10.7,16.8,9.1,18.3,10.7,10.7,33.5
Aux_CurrentLC3,Amps,7.6,4.6,4.6,12.2,15.2,4.6,18.3,9.1,9.1,33.5
Aux_CurrentLC4,Amps,7.6,9.1,9.1,13.7,18.3,7.6,16.8,12.2,10.7,35.1
LC1_Ph_Temp1,Deg c,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.4,31.4
LC4_Ph_Temp1,Deg c,27.9,27.8,27.9,27.8,27.9,27.8,27.9,27.9,27.9,27.9
LC1_Ph_Temp2,Deg c,31.3,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4
LC4_Ph_Temp2,Deg c,28.3,28.3,28.4,28.3,28.4,28.4,28.4,28.4,28.4,28.4
Conv1_CoolTmp1,Deg c,30.4,30.4,30.4,30.6,30.4,30.4,30.4,30.4,30.4,30.4
Conv2_CoolTmp1,Deg c,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,27.1,26.9
