Present Date: 01/02/2025 11:14:00,Unnamed: 1,Mean_Before_Fault,Mean_After_Fault,Change_Type,Absolute_Percentage_Change
Packet_Index,N/A,0.0,3.6,Zero to Non-Zero Change,inf
Loco1_Status,NUM,0.0,1.6,Zero to Non-Zero Change,inf
LC1_PLL_Ph_Err,Deg,-6.93889390390723e-19,0.0039999999999999,Normal Change,5.764607523034091e+17
LC3_PLL_Ph_Err,deg,0.004,-0.02,Normal Change,600.0
LC2_PLL_Ph_Err,deg,-0.0039999999999999,0.008,Normal Change,300.000000000005
AC3BCHFiredCnt,NUM,8.2,15.0,Normal Change,82.9268292682927
LC4_PLL_Ph_Err,deg,-0.006,-0.002,Normal Change,66.66666666666666
AC2_DC_Op_Curr,Amps,30.2,34.4,Normal Change,13.90728476821192
AC2_BATI,Amps,20.4,23.2,Normal Change,13.725490196078436
AC3_DC_Op_Curr,Amps,30.6,34.6,Normal Change,13.071895424836603
AC2_IpErLeak_I,mA,9.8,8.6,Normal Change,12.244897959183684
AC2_OpErLeak_I,mA,9.8,8.6,Normal Change,12.244897959183684
AC3_Batt_DCLV,Volts,505.6,567.2,Normal Change,12.183544303797472
AC2_Batt_DCLV,Volts,506.4,568.0,Normal Change,12.164296998420227
AC3_Output_Frequency,Hz,44.6,50.0,Normal Change,12.107623318385647
AC3_RY_Ph_Volt,Volts,371.2,415.0,Normal Change,11.799568965517244
AC3_YB_Ph_Volt,Volts,370.6,412.0,Normal Change,11.171073934160813
AC3_Batt_Chrgr_TxF_Primary_Current,Amps,1.8,1.6,Normal Change,11.111111111111107
ACC_Index,NUM,7954.8,7134.2,Normal Change,10.31578418062051
Acceleration,m/sec2,-0.2,-0.18,Normal Change,10.000000000000009
AC2_Batt_Chrgr_TxF_Primary_Current,Amps,2.0,1.8,Normal Change,9.999999999999998
AC3_BATI,Amps,21.2,23.2,Normal Change,9.433962264150944
AC3_Input_Current,Amps,38.6,41.8,Normal Change,8.290155440414496
TM5_Slip_Speed,RPM,18.4,17.020000000000003,Normal Change,7.499999999999976
TM4_Slip_Speed,RPM,18.800000000000004,17.4,Normal Change,7.446808510638327
TM1_Slip_Speed,RPM,18.7,17.419999999999998,Normal Change,6.844919786096263
TM6_Slip_Speed,RPM,18.32,17.08,Normal Change,6.768558951965076
AC3_BATV,Volts,101.4,108.2,Normal Change,6.706114398422088
TM2_Slip_Speed,RPM,18.84,17.58,Normal Change,6.687898089171982
AC2_BATV,Volts,101.8,108.2,Normal Change,6.286836935166999
Battery_Volt,Volts,101.8,108.2,Normal Change,6.286836935166999
TM3_Slip_Speed,RPM,18.4,17.28,Normal Change,6.086956521739117
HL_I_LC3,Amps,8.639999999999999,9.16,Normal Change,6.018518518518535
AC2_Bat_DCOp_V,Volts,103.6,109.8,Normal Change,5.984555984555988
AC3_Bat_DCOp_V,Volts,103.6,109.8,Normal Change,5.984555984555988
AC3_R_Ph_Curr,Amps,54.2,57.4,Normal Change,5.904059040590397
AC2_Input_Current,Amps,101.6,96.2,Normal Change,5.314960629921252
AC3_Y_Ph_Curr,Amps,52.8,55.6,Normal Change,5.303030303030312
AC2_DCLI,Amps,119.4,113.4,Normal Change,5.025125628140703
TM4_KW,kw,-513.0,-488.6,Normal Change,4.756335282651068
HL_I_LC2,Amps,10.7,11.2,Normal Change,4.672897196261683
AC3_DCLV,Volts,597.8,624.0,Normal Change,4.38273670123788
AC3_B_Ph_Curr,Amps,50.6,52.8,Normal Change,4.3478260869565135
TM5_KW,kw,-511.8,-490.6,Normal Change,4.142243063696754
LC3_Is_ref_mag,Amps,-771.16,-741.32,Normal Change,3.869495305773111
LC4_Ki_Out,Amps,-770.48,-741.3800000000001,Normal Change,3.776866369016705
LC4_Is_ref_mag,Amps,-770.48,-741.3800000000001,Normal Change,3.776866369016705
TM4_IyphRMS,Amps,196.6,189.4,Normal Change,3.662258392675478
TM4_RPM,RPM,1592.2,1534.2,Normal Change,3.642758447431227
TM1_RPM,RPM,1591.4,1534.4,Normal Change,3.5817519165514637
TM5_RPM,RPM,1592.0,1535.4,Normal Change,3.555276381909542
Is_LC4,Amps,518.0,499.6,Normal Change,3.5521235521235477
Aux_CurrentLC4,Amps,224.1,232.02000000000004,Normal Change,3.534136546184759
Loco_speed,KMPH,91.2,88.0,Normal Change,3.5087719298245648
LC1_IpPeak,Amps,142.24,137.26,Normal Change,3.501124859392588
LC3_Ki_Out,Amps,-770.0199999999999,-743.24,Normal Change,3.4778317446299916
TM1_RPM_Limit,RPM,1510.0,1457.8,Normal Change,3.4569536423841094
TM6_RPM_Limit,RPM,1512.8,1460.6,Normal Change,3.4505552617662647
Average_RRPM,RPM,1589.0,1534.2,Normal Change,3.4487098804279395
Bogie2_TM_Fbk_Power,KW,1545.4,1492.2,Normal Change,3.442474440274365
