Present Date: 01/01/2025 17:44:22,Unnamed: 1,Mean_Before_Fault,Mean_After_Fault
Field Name,Units,N/A,N/A
Packet_Index,N/A,0.0,2.0
Loco_speed,KMPH,54.0,51.2
Acceleration,m/sec2,-0.25999999999999995,-0.18
OHE_Volt_KV,KV,27.54,27.6
OHE_Current,Amps,22.2,2.4
Bogie1_DCLV,Volts,2326.4,2258.2
Bogie2_DCLV,Volts,2319.4,2253.4
Battery_Volt,Volts,100.0,99.8
BP_Pressure,Kg/cm2,5.06,5.260000000000001
Aux_Inp_Vol,Volts,1091.2,1097.8
Aux_Winding_I,Amps,12.8,20.8
TM1_RPM,RPM,942.8,890.2
TM2_RPM,RPM,942.6,891.4
TM3_RPM,RPM,942.0,891.2
TM4_RPM,RPM,941.4,890.6
TM5_RPM,RPM,943.0,890.8
TM6_RPM,RPM,944.2,893.0
Average_RRPM,RPM,940.8,889.4
TM1_RPM_Limit,RPM,941.8,890.4
TM2_RPM_Limit,RPM,941.8,890.4
TM3_RPM_Limit,RPM,940.8,889.4
TM4_RPM_Limit,RPM,940.8,889.4
TM5_RPM_Limit,RPM,940.8,889.4
TM6_RPM_Limit,RPM,941.8,890.4
Conv2_Coolant_Pressure,Bar,0.08,0.1
VCU1_MCC_Temp,Deg c,24.4,24.6
VCU1_DIP_Temp,Deg c,23.8,23.8
VCU1_DOP_Temp,Deg c,24.6,24.2
VCU2_DIP_Temp,Deg c,23.8,24.0
VCU2_DOP_Temp,Deg c,24.4,24.4
Energy_Cntr,NUM,9416.0,9420.2
Enrgy_data_LSW,NUM,65526.2,65529.0
TM1_I_Peak,Amps,8.0,8.0
TM2_I_Peak,Amps,8.0,8.4
TM3_I_Peak,Amps,7.6,7.4
TM4_I_Peak,Amps,8.4,8.0
TM5_I_Peak,Amps,6.4,6.6
TM6_I_Peak,Amps,6.2,6.0
TM1_DCLV,Volts,2275.6,2211.0
TM2_DCLV,Volts,2280.4,2216.0
TM3_DCLV,Volts,2280.6,2215.6
TM4_DCLV,Volts,2279.0,2214.0
TM5_DCLV,Volts,2291.0,2226.0
TM6_DCLV,Volts,2277.0,2212.0
TM4_Stat_Temp1,Deg c,61.2,61.0
OHE_Volt_LC1,KV,27.5,27.54
OHE_Volt_LC2,KV,27.559999999999995,27.6
OHE_Volt_LC3,KV,27.54,27.619999999999997
OHE_Volt_LC4,KV,27.559999999999995,27.6
OHE_CurrentLC1,Amps,21.98,2.4400000000000004
OHE_CurrentLC2,Amps,20.76,1.6800000000000002
OHE_CurrentLC3,Amps,20.740000000000002,1.6800000000000002
OHE_CurrentLC4,Amps,20.46,1.5399999999999998
HL_I_LC1,Amps,15.720000000000002,14.2
HL_I_LC3,Amps,8.64,8.120000000000001
DCLV_LC1,Volts,2326.56,2256.84
DCLV_LC2,Volts,2326.56,2259.06
DCLV_LC3,Volts,2319.58,2253.6
DCLV_LC4,Volts,2319.2799999999997,2253.2400000000002
Aux_CurrentLC1,Amps,12.5,20.44
Aux_CurrentLC2,Amps,10.36,16.46
Aux_CurrentLC3,Amps,8.84,14.919999999999998
Aux_CurrentLC4,Amps,11.559999999999999,16.48
LC1_Ph_Temp1,Deg c,31.3,31.340000000000003
LC4_Ph_Temp1,Deg c,27.859999999999996,27.880000000000003
LC1_Ph_Temp2,Deg c,31.380000000000003,31.4
LC4_Ph_Temp2,Deg c,28.339999999999996,28.4
Conv1_CoolTmp1,Deg c,30.439999999999998,30.4
Conv2_CoolTmp1,Deg c,26.9,26.939999999999998
Conv1_Cool_Pr1,Bar,0.08,0.1
Conv2_Cool_Pr2,Bar,0.08,0.1
BG1_TFOilTmp2,Deg c,48.6,48.620000000000005
AC1_Input_Voltage,Volts,1092.0,1097.4
AC2_Input_Voltage,Volts,1092.2,1098.0
AC3_Input_Voltage,Volts,1088.0,1092.8
AC2_Input_Current,Amps,5.4,4.4
AC3_Input_Current,Amps,7.6,14.0
AC1_DCLV,Volts,363.4,362.2
AC2_DCLV,Volts,185.8,280.2
AC3_DCLV,Volts,189.0,602.4
AC2_DCLI,Amps,2.0,0.0
AC3_DCLI,Amps,2.2,11.0
AC2_Output_Frequency,Hz,0.0,0.2
AC3_Output_Frequency,Hz,0.0,7.4
AC3_RY_Ph_Volt,Volts,0.0,71.0
AC3_YB_Ph_Volt,Volts,0.0,69.6
AC3_R_Ph_Curr,Amps,0.0,42.6
AC3_Y_Ph_Curr,Amps,0.0,43.2
