Present Date: 01/01/2025 17:44:22,Unnamed: 1,Mean_Before_Fault,Mean_After_Fault,Change_Type,Absolute_Percentage_Change
Packet_Index,N/A,0.0,2.0,Zero to Non-Zero Change,inf
AC2_Output_Frequency,Hz,0.0,0.2,Zero to Non-Zero Change,inf
AC3_Output_Frequency,Hz,0.0,7.4,Zero to Non-Zero Change,inf
AC3_RY_Ph_Volt,Volts,0.0,71.0,Zero to Non-Zero Change,inf
AC3_YB_Ph_Volt,Volts,0.0,69.6,Zero to Non-Zero Change,inf
AC3_R_Ph_Curr,Amps,0.0,42.6,Zero to Non-Zero Change,inf
AC3_Y_Ph_Curr,Amps,0.0,43.2,Zero to Non-Zero Change,inf
AC3_B_Ph_Curr,Amps,0.0,40.4,Zero to Non-Zero Change,inf
AC3_OpErLeak_I,mA,0.0,0.8,Zero to Non-Zero Change,inf
AC2BCHFiredCnt,NUM,0.0,77.4,Zero to Non-Zero Change,inf
AC3_DCLI,Amps,2.2,11.0,Normal Change,400.0
AC3_IpErLeak_I,mA,0.2,1.0,Normal Change,400.0
LC4_PLL_Ph_Err,deg,-0.0039999999999999,0.006,Normal Change,250.00000000000378
IC3_DCLV,NUM,188.2,605.4,Normal Change,221.67906482465463
AC3_DCLV,Volts,189.0,602.4,Normal Change,218.7301587301587
LC1_PLL_Ph_Err,Deg,-0.01,0.008,Normal Change,180.00000000000003
AC1_IpErLeak_I,mA,0.4,1.0,Normal Change,149.99999999999997
AC2_DCLI,Amps,2.0,0.0,Normal Change,100.0
OHE_CurrentLC4,Amps,20.46,1.5399999999999998,Normal Change,92.4731182795699
OHE_CurrentLC2,Amps,20.76,1.6800000000000002,Normal Change,91.90751445086705
OHE_CurrentLC3,Amps,20.74,1.6800000000000002,Normal Change,91.89971070395372
OHE_Current,Amps,22.2,2.4,Normal Change,89.1891891891892
OHE_CurrentLC1,Amps,21.98,2.4400000000000004,Normal Change,88.89899909008189
AC3_Input_Current,Amps,7.6,14.0,Normal Change,84.21052631578948
LC4_IpPeak,Amps,74.82000000000001,14.899999999999997,Normal Change,80.08553862603583
LC3_IpPeak,Amps,75.4,15.32,Normal Change,79.6816976127321
LC2_IpPeak,Amps,75.38000000000001,15.76,Normal Change,79.09259750596976
LC1_IpPeak,Amps,77.58000000000001,18.4,Normal Change,76.2825470482083
Aux_CurrentLC3,Amps,8.84,14.919999999999998,Normal Change,68.77828054298641
Aux_CurrentLC1,Amps,12.5,20.44,Normal Change,63.52000000000001
Aux_Winding_I,Amps,12.8,20.8,Normal Change,62.5
Aux_CurrentLC2,Amps,10.36,16.46,Normal Change,58.880308880308895
IC2_DCLV,NUM,178.2,282.6,Normal Change,58.58585858585861
AC2_Batt_DCLV,Volts,364.8,172.8,Normal Change,52.63157894736842
AC3_Batt_DCLV,Volts,364.8,172.8,Normal Change,52.63157894736842
AC2_DCLV,Volts,185.8,280.2,Normal Change,50.80731969860063
LC3_PLL_Ph_Err,deg,0.008,0.012,Normal Change,50.0
LC2_PLL_Ph_Err,deg,0.008,0.012,Normal Change,50.0
Aux_CurrentLC4,Amps,11.56,16.48,Normal Change,42.56055363321799
Acceleration,m/sec2,-0.2599999999999999,-0.18,Normal Change,30.76923076923074
Conv2_Coolant_Pressure,Bar,0.08,0.1,Normal Change,25.000000000000007
Conv2_Cool_Pr2,Bar,0.08,0.1,Normal Change,25.000000000000007
Conv1_Cool_Pr1,Bar,0.08,0.1,Normal Change,25.000000000000007
AC2_Input_Current,Amps,5.4,4.4,Normal Change,18.51851851851852
Fault_Count,NUM,12.0,13.6,Normal Change,13.33333333333333
ACC_Index,NUM,7800.0,7035.0,Normal Change,9.807692307692308
HL_I_LC1,Amps,15.720000000000002,14.2,Normal Change,9.66921119592877
LC4_IsPeak,Amps,8.1,8.7,Normal Change,7.407407407407403
LC3_IsPeak,Amps,11.92,11.080000000000002,Normal Change,7.046979865771796
HL_I_LC3,Amps,8.64,8.120000000000001,Normal Change,6.018518518518514
TM1_RPM,RPM,942.8,890.2,Normal Change,5.579126007636817
TM5_RPM,RPM,943.0,890.8,Normal Change,5.535524920466601
TM3_RPM_Limit,RPM,940.8,889.4,Normal Change,5.4634353741496575
TM5_RPM_Limit,RPM,940.8,889.4,Normal Change,5.4634353741496575
TM4_RPM_Limit,RPM,940.8,889.4,Normal Change,5.4634353741496575
Average_RRPM,RPM,940.8,889.4,Normal Change,5.4634353741496575
TM6_RPM_Limit,RPM,941.8,890.4,Normal Change,5.45763431726481
TM2_RPM_Limit,RPM,941.8,890.4,Normal Change,5.45763431726481
TM1_RPM_Limit,RPM,941.8,890.4,Normal Change,5.45763431726481
TM2_RPM,RPM,942.6,891.4,Normal Change,5.431784426055596
TM6_RPM,RPM,944.2,893.0,Normal Change,5.422579961872489
TM4_RPM,RPM,941.4,890.6,Normal Change,5.39621839813044
TM3_RPM,RPM,942.0,891.2,Normal Change,5.392781316348191
Loco_speed,KMPH,54.0,51.2,Normal Change,5.18518518518518
TM2_I_Peak,Amps,8.0,8.4,Normal Change,5.000000000000004
TM4_I_Peak,Amps,8.4,8.0,Normal Change,4.761904761904765
BP_Pressure,Kg/cm2,5.06,5.260000000000001,Normal Change,3.952569169960496
LC2_DCLV_Max,volts,2393.2,2301.0,Normal Change,3.8525823165635895
LC3_DCLV_Max,Volts,2394.0,2308.6,Normal Change,3.567251461988308
LC2_IsPeak,Amps,9.0,8.7,Normal Change,3.333333333333341
TM6_I_Peak,Amps,6.2,6.0,Normal Change,3.2258064516129057
TM5_I_Peak,Amps,6.4,6.6,Normal Change,3.124999999999989
DCLV_LC1,Volts,2326.56,2256.84,Normal Change,2.996698989065393
LC1_DCLV_Max,Volts,2353.4,2284.4,Normal Change,2.9319282739865726
Bogie1_DCLV,Volts,2326.4,2258.2,Normal Change,2.931568088033024
DCLV_LC2,Volts,2326.56,2259.06,Normal Change,2.9012791417371573
LC4_DCL_EFlt_V,Volts,1752.14,1701.64,Normal Change,2.8821897793555307
LC2_DCL_EFlt_V,Volts,1745.7,1695.44,Normal Change,2.8790742968436724
LC1_DCL_EFlt_V,Volts,1742.7400000000002,1692.84,Normal Change,2.8633072058941846
TM6_DCLV,Volts,2277.0,2212.0,Normal Change,2.854633289415898
TM4_DCLV,Volts,2279.0,2214.0,Normal Change,2.8521281263712157
TM3_DCLV,Volts,2280.6,2215.6,Normal Change,2.850127159519425
DCLV_LC4,Volts,2319.28,2253.24,Normal Change,2.847435410989635
Bogie2_DCLV,Volts,2319.4,2253.4,Normal Change,2.8455635078037425
DCLV_LC3,Volts,2319.58,2253.6,Normal Change,2.844480466291312
TM1_DCLV,Volts,2275.6,2211.0,Normal Change,2.838811741958161
LC3_DCL_EFlt_V,Volts,1750.58,1700.9,Normal Change,2.8379165762204432
TM5_DCLV,Volts,2291.0,2226.0,Normal Change,2.8371890004364904
TM2_DCLV,Volts,2280.4,2216.0,Normal Change,2.824065953341523
TM3_I_Peak,Amps,7.6,7.4,Normal Change,2.631578947368412
LC3_OVL_I,Amps,0.78,0.8,Normal Change,2.5641025641025665
LC1_OVL_I,Amps,1.0,0.98,Normal Change,2.0000000000000018
LC3__Is_Rms_With_Ripple,Amps,7.7,7.56,Normal Change,1.8181818181818254
VCU1_DOP_Temp,Deg c,24.6,24.2,Normal Change,1.62601626016261
LC2__Is_Rms_With_Ripple,Amps,4.1,4.040000000000001,Normal Change,1.4634146341463103
VCU2_DIP_Temp,Deg c,23.8,24.0,Normal Change,0.8403361344537785
VCU1_MCC_Temp,Deg c,24.4,24.6,Normal Change,0.8196721311475527
LC1__Is_Rms_With_Ripple,Amps,12.580000000000002,12.66,Normal Change,0.6359300476947399
Aux_Inp_Vol,Volts,1091.2,1097.8,Normal Change,0.604838709677411
AC2_Input_Voltage,Volts,1092.2,1098.0,Normal Change,0.5310382713788642
AC1_Input_Voltage,Volts,1092.0,1097.4,Normal Change,0.4945054945055028
LC1_Vs_10mSec_Rms,Volts,1392.48,1398.94,Normal Change,0.46392048718832846
LC4_DCLV_Max,Volts,2365.0,2354.2,Normal Change,0.4566596194503248
LC4__Is_Rms_With_Ripple,Amps,4.44,4.42,Normal Change,0.45045045045046084
AC3_Input_Voltage,Volts,1088.0,1092.8,Normal Change,0.4411764705882311
LC3_Vs_10mSec_Rms,volts,1395.62,1400.8000000000002,Normal Change,0.37116120433931094
AC1_DCLV,Volts,363.4,362.2,Normal Change,0.3302146395156821
IC1_DCLV,NUM,363.6,362.4,Normal Change,0.3300330033003425
TM4_Stat_Temp1,Deg c,61.2,61.0,Normal Change,0.3267973856209197
OHE_Volt_LC3,KV,27.54,27.62,Normal Change,0.29048656499637565
LC2_Vs_10mSec_Rms,Volts,1398.84,1402.44,Normal Change,0.25735609505019424
LC4_Vs_10mSec_Rms,Volts,1399.0,1402.14,Normal Change,0.22444603288063616
OHE_Volt_KV,KV,27.54,27.6,Normal Change,0.21786492374728494
LC4_Ph_Temp2,Deg c,28.34,28.4,Normal Change,0.2117148906139687
AC2_BATV,Volts,100.0,99.8,Normal Change,0.20000000000000281
Battery_Volt,Volts,100.0,99.8,Normal Change,0.20000000000000281
LC4_VsPeak,Volts,2036.58,2040.48,Normal Change,0.19149751053236755
LC2_VsPeak,Volts,2036.3,2040.0,Normal Change,0.18170210676226714
Conv2_CoolTmp1,Deg c,26.9,26.94,Normal Change,0.14869888475837434
OHE_Volt_LC1,KV,27.5,27.54,Normal Change,0.14545454545454234
OHE_Volt_LC2,KV,27.559999999999995,27.6,Normal Change,0.1451378809869603
OHE_Volt_LC4,KV,27.559999999999995,27.6,Normal Change,0.1451378809869603
Conv1_CoolTmp1,Deg c,30.44,30.4,Normal Change,0.13140604467806405
LC1_Ph_Temp1,Deg c,31.3,31.340000000000003,Normal Change,0.12779552715655815
LC1_IsPeak,Amps,17.18,17.2,Normal Change,0.11641443538998589
AC3_Input_Frequency,Hz,49.96,49.90599999999999,Normal Change,0.10808646917535858
AC2_Input_Frequency,Hz,49.96,49.906,Normal Change,0.10808646917534438
LC4_Ph_Temp1,Deg c,27.86,27.880000000000003,Normal Change,0.07178750897344985
LC1_Ph_Temp2,Deg c,31.380000000000003,31.4,Normal Change,0.06373486297003193
LC3_VsPeak,volts,2036.82,2038.02,Normal Change,0.05891536807376427
LC1_VsPeak,Volts,2036.32,2037.26,Normal Change,0.046161703465076934
